scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
Wigan,2000-01-05,2024-02-15,41963,Idox,Scraper Gen2 (Civica 242),no rotation.,407,, ,41856.0,,40301,39507,96.28%,94.39%,,2005,,40301,39507,96.28%,94.39%,,0.0,0.0,0.00%,0.00%,
Wiltshire,1999-12-10,2024-02-16,210234,Custom,, ,408,, ,209260.0,,198695,190997,94.95%,91.27%,,2014,,198695,190997,94.95%,91.27%,,0.0,0.0,0.00%,0.00%,
Winchester,2002-05-03,2024-02-15,54347,Idox,Scraper Gen2 (IP rotation & No comment 243), ,409,planningapps.winchester.gov.uk, ,54108.0,,54007,47501,99.81%,87.79%,,- final check,,54007,47501,99.81%,87.79%,,0.0,0.0,0.00%,0.00%,
Windsor,2000-01-05,2024-02-15,77856,Idox,Scraper Gen2 (No comment 244),no rotation.,410,, ,77508.0,,70315,69167,90.72%,89.24%,,"2000-2002, 2017",,70315,69167,90.72%,89.24%,,0.0,0.0,0.00%,0.00%,
Wirral,1999-12-29,2024-02-11,46896,Tascomi,, ,411,, ,46826.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Woking,2002-05-27,2024-02-16,37205,Idox,Scraper Gen1, ,412,, ,37027.0,,36431,34641,98.39%,93.56%,,-,,36431,34641,98.39%,93.56%,,0.0,0.0,0.00%,0.00%,
Wokingham,2000-01-04,2024-02-15,66629,Fastweb,, ,413,, ,66325.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Wolverhampton,2002-06-05,2024-02-14,32428,Idox,Scraper Gen1,part,414,planningonline.wolverhampton.gov.uk/, ,32320.0,,26161,22097,80.94%,68.37%,,2017-2023,,26161,22097,80.94%,68.37%,,0.0,0.0,0.00%,0.00%,
Worcester,1999-01-07,2024-02-14,21756,Atrium,, ,415,, ,21689.0,,21198,19741,97.74%,91.02%,,-,,21198,19741,97.74%,91.02%,,0.0,0.0,0.00%,0.00%,
Worcestershire,2004-12-14,2024-02-07,1017,SwiftLG,, ,416,, ,1014.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Wrexham,1999-12-24,2024-02-14,27841,CivicaJson,, ,417,, ,27749.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Wychavon,1999-12-15,2024-02-15,50409,Atrium,, ,418,, ,50236.0,,47075,32116,93.71%,63.93%,,"2016, 2018, 2023",,47075,32116,93.71%,63.93%,,0.0,0.0,0.00%,0.00%,
Wycombe,2002-05-23,2024-02-16,68501,Idox,Scraper Gen1, ,419,, ,68230.0,,68115,66774,99.83%,97.87%,1,-,,68115,66774,99.83%,97.87%,,0.0,0.0,0.00%,0.00%,
Wyre,2000-01-04,2024-02-15,28634,Idox,Scraper Gen1, ,420,, ,28529.0,,28213,26045,98.89%,91.29%,,2002,,28213,26045,98.89%,91.29%,,0.0,0.0,0.00%,0.00%,
WyreForestDC,2006-01-04,2024-02-12,18877,Idox,Scraper Gen1,no rotation.,421,, ,18815.0,,17882,17814,95.04%,94.68%,,2006-2010,,18029,17960,95.82%,95.46%,,147.0,146.0,0.78%,0.78%,
York,2002-05-23,2024-02-14,57401,Idox,Scraper Gen1,-x,422,,verify human,57222.0,,23089,21137,40.35%,36.94%,,,,23089,21137,40.35%,36.94%,,0.0,0.0,0.00%,0.00%,
YorkshireDales,2000-01-05,2024-02-15,19096,Agile,, ,423,, ,16609.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
,,,1.85E+07,,, ,,, ,1.84E+07,,1.15E+07,1.02E+07,210,129,,,,1.15E+07,1.02E+07,210,130,,19657.0,14336.0,0,1,
